swifttrack-core  | 
swifttrack-core  | 2026-02-25T17:47:11.681Z  INFO 1 --- [swifttrack-core] [           main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
swifttrack-core  | 2026-02-25T17:47:11.689Z  INFO 1 --- [swifttrack-core] [           main] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
swifttrack-core  | 2026-02-25T17:47:11.722Z  INFO 1 --- [swifttrack-core] [           main] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
swifttrack-core  | 2026-02-25T17:47:11.722Z  INFO 1 --- [swifttrack-core] [           main] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
swifttrack-core  | 2026-02-25T17:47:11.722Z  INFO 1 --- [swifttrack-core] [           main] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
swifttrack-core  | 2026-02-25T17:47:11.722Z  INFO 1 --- [swifttrack-core] [           main] com.netflix.discovery.DiscoveryClient    : Application is null : false
swifttrack-core  | 2026-02-25T17:47:11.722Z  INFO 1 --- [swifttrack-core] [           main] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
swifttrack-core  | 2026-02-25T17:47:11.723Z  INFO 1 --- [swifttrack-core] [           main] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
swifttrack-core  | 2026-02-25T17:47:11.723Z  INFO 1 --- [swifttrack-core] [           main] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
swifttrack-core  | 2026-02-25T17:47:12.239Z  INFO 1 --- [swifttrack-core] [           main] com.netflix.discovery.DiscoveryClient    : The response status is 200
swifttrack-core  | 2026-02-25T17:47:12.243Z  INFO 1 --- [swifttrack-core] [           main] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
swifttrack-core  | 2026-02-25T17:47:12.248Z  INFO 1 --- [swifttrack-core] [           main] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
swifttrack-core  | 2026-02-25T17:47:12.255Z  INFO 1 --- [swifttrack-core] [           main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1772041632255 with initial instances count: 0
swifttrack-core  | 2026-02-25T17:47:12.264Z  INFO 1 --- [swifttrack-core] [           main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application SWIFTTRACK-CORE with eureka with status UP
swifttrack-core  | 2026-02-25T17:47:12.265Z  INFO 1 --- [swifttrack-core] [           main] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1772041632265, current=UP, previous=STARTING]
swifttrack-core  | 2026-02-25T17:47:12.269Z  INFO 1 --- [swifttrack-core] [nfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_SWIFTTRACK-CORE/4062d765251f:swifttrack-core:8080: registering service...
swifttrack-core  | 2026-02-25T17:47:12.294Z  INFO 1 --- [swifttrack-core] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path ''
swifttrack-core  | 2026-02-25T17:47:12.296Z  INFO 1 --- [swifttrack-core] [           main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8080
swifttrack-core  | 2026-02-25T17:47:12.299Z  INFO 1 --- [swifttrack-core] [           main] o.s.m.s.b.SimpleBrokerMessageHandler     : Starting...
swifttrack-core  | 2026-02-25T17:47:12.300Z  INFO 1 --- [swifttrack-core] [           main] o.s.m.s.b.SimpleBrokerMessageHandler     : BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@720bf74d]]
swifttrack-core  | 2026-02-25T17:47:12.302Z  INFO 1 --- [swifttrack-core] [           main] o.s.m.s.b.SimpleBrokerMessageHandler     : Started.
swifttrack-core  | 2026-02-25T17:47:12.307Z  INFO 1 --- [swifttrack-core] [           main] o.s.a.r.c.CachingConnectionFactory       : Attempting to connect to: [rabbitmq:5672]
swifttrack-core  | 2026-02-25T17:47:12.382Z  INFO 1 --- [swifttrack-core] [nfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_SWIFTTRACK-CORE/4062d765251f:swifttrack-core:8080 - registration status: 204
swifttrack-core  | 2026-02-25T17:47:12.394Z  INFO 1 --- [swifttrack-core] [           main] o.s.a.r.c.CachingConnectionFactory       : Created new connection: rabbitConnectionFactory#aeb8ee2:0/SimpleConnection@1c68601b [delegate=amqp://guest@172.19.0.2:5672/, localPort=57712]
swifttrack-core  | 2026-02-25T17:47:12.484Z  INFO 1 --- [swifttrack-core] [           main] l.s.swifttrack.SwiftTrackApplication     : Started SwiftTrackApplication in 19.826 seconds (process running for 22.053)
swifttrack-core  | 2026-02-25T17:47:42.383Z  INFO 1 --- [swifttrack-core] [freshExecutor-0] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
swifttrack-core  | 2026-02-25T17:47:42.384Z  INFO 1 --- [swifttrack-core] [freshExecutor-0] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
swifttrack-core  | 2026-02-25T17:47:42.384Z  INFO 1 --- [swifttrack-core] [freshExecutor-0] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
swifttrack-core  | 2026-02-25T17:47:42.384Z  INFO 1 --- [swifttrack-core] [freshExecutor-0] com.netflix.discovery.DiscoveryClient    : Application is null : false
swifttrack-core  | 2026-02-25T17:47:42.384Z  INFO 1 --- [swifttrack-core] [freshExecutor-0] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
swifttrack-core  | 2026-02-25T17:47:42.384Z  INFO 1 --- [swifttrack-core] [freshExecutor-0] com.netflix.discovery.DiscoveryClient    : Application version is -1: false
swifttrack-core  | 2026-02-25T17:47:42.384Z  INFO 1 --- [swifttrack-core] [freshExecutor-0] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
swifttrack-core  | 2026-02-25T17:47:42.401Z  INFO 1 --- [swifttrack-core] [freshExecutor-0] com.netflix.discovery.DiscoveryClient    : The response status is 200
swifttrack-core  | 2026-02-25T17:47:52.413Z  INFO 1 --- [swifttrack-core] [nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
swifttrack-core  | 2026-02-25T17:47:52.413Z  INFO 1 --- [swifttrack-core] [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
swifttrack-core  | 2026-02-25T17:47:52.416Z  INFO 1 --- [swifttrack-core] [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 3 ms
swifttrack-core  | 2026-02-25T17:47:52.618Z  INFO 1 --- [swifttrack-core] [ntContainer#0-1] l.s.swifttrack.orchestrator.SagaService  : SAGA START — processing order 6eab00a3-5d25-4aa8-9347-b4efbe1e68ce
swifttrack-core  | 2026-02-25T17:47:52.619Z  INFO 1 --- [swifttrack-core] [ntContainer#0-1] l.s.swifttrack.orchestrator.SagaService  : Step 1/3 — calling CMS-SOAP for order 6eab00a3-5d25-4aa8-9347-b4efbe1e68ce
swifttrack-core  | 2026-02-25T17:47:52.622Z DEBUG 1 --- [swifttrack-core] [ntContainer#0-1] l.s.s.integrations.ServiceDiscovery      : Resolved cms-soap via Eureka → http://cms-soap:8081
swifttrack-core  | 2026-02-25T17:47:52.805Z ERROR 1 --- [swifttrack-core] [ntContainer#0-1] l.s.swifttrack.orchestrator.SagaService  : SAGA FAILED — order 6eab00a3-5d25-4aa8-9347-b4efbe1e68ce — reason:  [404]
swifttrack-core  | 
swifttrack-core  | org.springframework.ws.client.WebServiceTransportException:  [404]
swifttrack-core  | 	at org.springframework.ws.client.core.WebServiceTemplate.handleError(WebServiceTemplate.java:666) ~[spring-ws-core-4.0.10.jar!/:na]
swifttrack-core  | 	at org.springframework.ws.client.core.WebServiceTemplate.doSendAndReceive(WebServiceTemplate.java:588) ~[spring-ws-core-4.0.10.jar!/:na]
